Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
grims2,sphereActivity,0.75,standard,1,2
grims2,sphereActivity,0.75,standard,2,3
grims2,sphereActivity,0.75,standard,3,1
grims2,sphereActivity,0.75,standard,4,1
grims2,sphereActivity,0.75,standard,5,1
grims2,sphereActivity,0.75,standard,6,1
grims2,sphereActivity,0.75,standard,7,1
grims2,sphereActivity,0.75,standard,8,3
grims2,sphereActivity,0.75,standard,9,1
grims2,sphereActivity,0.75,standard,10,3
pedro,sphereActivity,0.75,standard,1,2
pedro,sphereActivity,0.75,standard,3,1
pedro,sphereActivity,0.75,standard,4,3
xxx,sphereActivity,0.75,standard,1,3
xxx,sphereActivity,0.75,standard,2,1
xxx,sphereActivity,0.75,standard,3,3
xxx,sphereActivity,0.75,standard,4,3
xxx,sphereActivity,0.75,standard,5,2
xxx,sphereActivity,0.75,standard,6,3
slasto,sphereActivity,0.75,standard,2,3
slasto,sphereActivity,0.75,standard,3,4
slasto,sphereActivity,0.75,standard,4,4
slasto,sphereActivity,0.75,standard,6,2
slasto,sphereActivity,0.75,standard,7,3
slasto,sphereActivity,0.75,standard,8,2
minestra,sphereActivity,0.75,standard,1,2
minestra,sphereActivity,0.75,standard,2,1
minestra,sphereActivity,0.75,standard,3,1
minestra,sphereActivity,0.75,standard,4,3
minestra,sphereActivity,0.75,standard,5,2
minestra,sphereActivity,0.75,standard,6,4
dan,sphereActivity,0.75,standard,1,1
dan,sphereActivity,0.75,standard,2,1
dan,sphereActivity,0.75,standard,3,4
dan,sphereActivity,0.75,standard,4,2
dan,sphereActivity,0.75,standard,5,7
pabluccio,sphereActivity,0.75,standard,1,1
pabluccio,sphereActivity,0.75,standard,2,5
pabluccio,sphereActivity,0.75,standard,3,4
pabluccio,sphereActivity,0.75,standard,4,2
SADAX,sphereActivity,0.75,standard,1,5
SADAX,sphereActivity,0.75,standard,2,5
SADAX,sphereActivity,0.75,standard,3,1
grims,sphereActivity,0.75,standard,1,3
grims,sphereActivity,0.75,standard,2,3
grims,sphereActivity,0.75,standard,3,3
grims,sphereActivity,0.75,standard,4,4
grims,sphereActivity,0.75,standard,5,3
grims,sphereActivity,0.75,standard,6,2
Pa0l0l0,sphereActivity,0.75,standard,1,3
Pa0l0l0,sphereActivity,0.75,standard,2,4
Pa0l0l0,sphereActivity,0.75,standard,3,3
Pa0l0l0,sphereActivity,0.75,standard,4,3
Pa0l0l0,sphereActivity,0.75,standard,5,3
Pa0l0l0,sphereActivity,0.75,standard,6,4
peppe,sphereActivity,0.75,standard,1,2
peppe,sphereActivity,0.75,standard,2,2
peppe,sphereActivity,0.75,standard,3,5
bigw,sphereActivity,0.75,standard,1,2
bigw,sphereActivity,0.75,standard,2,4
bigw,sphereActivity,0.75,standard,3,2
bigw,sphereActivity,0.75,standard,4,3
bigw,sphereActivity,0.75,standard,5,3
bigw,sphereActivity,0.75,standard,7,4
qwe,sphereActivity,0.75,standard,1,2
qwe,sphereActivity,0.75,standard,2,4
qwe,sphereActivity,0.75,standard,3,6
qwe,sphereActivity,0.75,standard,4,5
qwe,sphereActivity,0.75,standard,6,4
ocran,sphereActivity,0.75,standard,1,3
ocran,sphereActivity,0.75,standard,2,3
ocran,sphereActivity,0.75,standard,3,3
