Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
grims2,sphereActivity,0.65,standard,1,2
grims2,sphereActivity,0.65,standard,2,5
grims2,sphereActivity,0.65,standard,3,3
grims2,sphereActivity,0.65,standard,4,3
grims2,sphereActivity,0.65,standard,5,4
grims2,sphereActivity,0.65,standard,6,2
grims2,sphereActivity,0.65,standard,7,4
grims2,sphereActivity,0.65,standard,8,3
grims2,sphereActivity,0.65,standard,9,2
grims2,sphereActivity,0.65,standard,10,4
pedro,sphereActivity,0.65,standard,1,2
pedro,sphereActivity,0.65,standard,3,2
pedro,sphereActivity,0.65,standard,4,4
xxx,sphereActivity,0.65,standard,1,5
xxx,sphereActivity,0.65,standard,2,6
xxx,sphereActivity,0.65,standard,3,3
xxx,sphereActivity,0.65,standard,4,6
xxx,sphereActivity,0.65,standard,5,3
xxx,sphereActivity,0.65,standard,6,5
slasto,sphereActivity,0.65,standard,2,6
slasto,sphereActivity,0.65,standard,3,4
slasto,sphereActivity,0.65,standard,4,6
slasto,sphereActivity,0.65,standard,6,7
slasto,sphereActivity,0.65,standard,7,5
slasto,sphereActivity,0.65,standard,8,5
minestra,sphereActivity,0.65,standard,1,3
minestra,sphereActivity,0.65,standard,2,2
minestra,sphereActivity,0.65,standard,3,3
minestra,sphereActivity,0.65,standard,4,3
minestra,sphereActivity,0.65,standard,5,4
minestra,sphereActivity,0.65,standard,6,4
dan,sphereActivity,0.65,standard,1,2
dan,sphereActivity,0.65,standard,2,2
dan,sphereActivity,0.65,standard,3,4
dan,sphereActivity,0.65,standard,4,4
dan,sphereActivity,0.65,standard,5,8
pabluccio,sphereActivity,0.65,standard,1,1
pabluccio,sphereActivity,0.65,standard,2,7
pabluccio,sphereActivity,0.65,standard,3,6
pabluccio,sphereActivity,0.65,standard,4,5
SADAX,sphereActivity,0.65,standard,1,6
SADAX,sphereActivity,0.65,standard,2,6
SADAX,sphereActivity,0.65,standard,3,4
grims,sphereActivity,0.65,standard,1,4
grims,sphereActivity,0.65,standard,2,3
grims,sphereActivity,0.65,standard,3,4
grims,sphereActivity,0.65,standard,4,3
grims,sphereActivity,0.65,standard,5,4
grims,sphereActivity,0.65,standard,6,3
Pa0l0l0,sphereActivity,0.65,standard,1,3
Pa0l0l0,sphereActivity,0.65,standard,2,5
Pa0l0l0,sphereActivity,0.65,standard,3,3
Pa0l0l0,sphereActivity,0.65,standard,4,3
Pa0l0l0,sphereActivity,0.65,standard,5,3
Pa0l0l0,sphereActivity,0.65,standard,6,4
peppe,sphereActivity,0.65,standard,1,5
peppe,sphereActivity,0.65,standard,2,2
peppe,sphereActivity,0.65,standard,3,5
bigw,sphereActivity,0.65,standard,1,2
bigw,sphereActivity,0.65,standard,2,6
bigw,sphereActivity,0.65,standard,3,3
bigw,sphereActivity,0.65,standard,4,4
bigw,sphereActivity,0.65,standard,5,3
bigw,sphereActivity,0.65,standard,7,4
qwe,sphereActivity,0.65,standard,1,4
qwe,sphereActivity,0.65,standard,2,5
qwe,sphereActivity,0.65,standard,3,7
qwe,sphereActivity,0.65,standard,4,9
qwe,sphereActivity,0.65,standard,6,8
ocran,sphereActivity,0.65,standard,1,4
ocran,sphereActivity,0.65,standard,2,3
ocran,sphereActivity,0.65,standard,3,3
